id_etudiant,nom,prenom,email,date_naissance,id_classe
1,Ndiaye,Aminata,aminata.ndiaye@example.com,2000-03-15,1
2,Diop,Cheikh,cheikh.diop@example.com,1999-07-22,2
3,Sy,Fatou,fatou.sy@example.com,2001-06-12,7
4,Ba,Omar,omar.ba@example.com,1998-11-05,12
5,Diallo,Awa,awa.diallo@example.com,2000-01-23,4
6,Ngom,Moussa,moussa.ngom@example.com,1999-04-08,3
7,Kane,Seynabou,sey.kane@example.com,2001-09-30,13
8,Gueye,Mamadou,mamadou.gueye@example.com,1997-12-18,14
9,Sarr,Khady,khady.sarr@example.com,1998-02-10,15
10,Cissé,Abdoulaye,abdou.cisse@example.com,1997-07-17,16
11,Lo,Sokhna,sokhna.lo@example.com,2001-10-05,5
12,Touré,Youssoupha,youssoupha.toure@example.com,1999-12-28,10
13,Seck,Mariama,mariama.seck@example.com,2002-04-03,3
14,Thiam,Ismail,ismail.thiam@example.com,1998-09-09,15
15,Dieng,Hassan,hassan.dieng@example.com,2000-08-13,16
16,Fall,Astou,astou.fall@example.com,1997-05-26,9
17,Niane,Aliou,aliou.niane@example.com,2000-06-11,4

19,Ly,Serigne,serigne.ly@example.com,2003-06-02,12
20,Sow,Ndeye,ndeye.sow@example.com,1999-11-22,4
21,Gassama,Souleymane,souleymane.gassama@example.com,1998-03-03,3
22,Ndour,Anta,anta.ndour@example.com,2000-04-17,13
23,Sagna,David,david.sagna@example.com,1997-10-31,14
24,Dabo,Ibrahima,ibrahima.dabo@example.com,1996-12-24,15
25,Barry,Thierno,thierno.barry@example.com,1998-07-06,16
26,Beye,Ndeye Fatou,ndeye.beye@example.com,2001-03-18,11
27,Bocoum,Aissatou,aissatou.bocoum@example.com,2000-12-01,1
28,Mendy,Pape,pape.mendy@example.com,1999-05-20,2
29,Samb,Maguette,mag.samb@example.com,2002-02-27,7
30,Camara,Ousmane,ousmane.camara@example.com,1997-09-15,12
31,Balde,Khadim,khadim.balde@example.com,2001-07-04,15
32,Tall,Adama,adama.tall@example.com,1996-10-02,16
33,Issa,Mahamat,issa@mail.com,1977-01-01,16
38,Lebron,James,jms@lbr.com,1999-10-12,16
39,Ndiaye,Ali,ali@m.com,2005-10-13,4
